study,treat1,treat2,TE,seTE,setting
Smith2018,Pharmacist,UC,-0.6469701475048998,0.2439423699752965,Community
Jones2019,MDT,UC,-0.8089876014768368,0.27465282388766327,Institutionalized
Lee2020,CDSS,UC,-0.6032309873295926,0.23441360404685938,Community
Brown2021,Deprescribing,UC,-0.918315347622484,0.3147100936801713,Community
Garcia2017,Pharmacist,MDT,0.450398703167619,0.2700364288752036,Institutionalized
Wang2022,Pharmacist,UC,-0.8563728943095441,0.3453543145493817,Institutionalized
Kim2020,CDSS,UC,-0.6432339369932805,0.27180288464306135,Institutionalized
Chen2019,Deprescribing,UC,-0.9289119480650825,0.39430469243491195,Institutionalized
Taylor2021,MDT,UC,-0.5969424693065286,0.24401967776857766,Community
Wilson2023,Deprescribing,CDSS,-0.1508055735673435,0.26131268053702633,Community
